Order ID,Order Date,Buyer,Base Currency,Shipping,Order Total,Tax,Base Grand Total,Total Lots,Total Items,Order Status,Location,Condition,Item Description,Qty,Each,Total,Item Type,Item Number,Inv ID
23214652.0,2023-09-29,ArcStore27,USD,4.99,6.50,0.47,11.96,2.0,2.0,Shipped,"USA, California",,,,,,,11,
,,,,,,,,,,,,Used,Trans-Light Blue Brick 1 x 2 x 5 without Side Supports with Emperor Palpatine Pattern on Both Sides (Stickers) - Set 6211,1.0,3.50,3.50,Part,46212pb001,366406343.0
,,,,,,,,,,,,Used,"White Minifigure, Headgear Helmet SW Stormtrooper Pattern ",1.0,3.00,3.00,Part,30408p01,366416338.0
23170630.0,2023-09-23,hanlike,USD,4.99,31.94,2.87,39.80,6.0,11.0,Shipped,"USA, California",,,,,,,11,
,,,,,,,,,,,,Used,Rene Belloq - Dark Tan Jacket ,1.0,9.48,9.48,Minifigure,iaj009,363929481.0
,,,,,,,,,,,,Used,Satipo - Shirt with Black Pockets ,1.0,6.26,6.26,Minifigure,iaj010,363929482.0
,,,,,,,,,,,,Used,"Metallic Gold Minifigure, Utensil Peruvian Temple Idol &#40;Golden Idol&#41; Type 1 - Mold Position Number on Back, without Reinforced Inside",1.0,15.19,15.19,Part,62713,363929439.0
,,,,,,,,,,,,Used,"Metallic Silver Plate, Round 1 x 1",5.0,0.06,0.30,Part,4073,363782449.0
,,,,,,,,,,,,Used,Pearl Light Gray Barb / Claw / Horn / Tooth - Small ,2.0,0.08,0.16,Part,53451,363929440.0
,,,,,,,,,,,,Used,Tan Panel 1 x 6 x 5 with Idol Pattern Turned Right (Sticker) - Set 7623,1.0,0.55,0.55,Part,59349pb011,363929680.0
23162762.0,2023-09-22,HeroChallenger,USD,4.99,24.71,1.97,31.67,6.0,8.0,Shipped,"USA, New Jersey",,,,,,,11,
,,,,,,,,,,,,Used,German Soldier 2,1.0,5.38,5.38,Minifigure,iaj005,363782457.0
,,,,,,,,,,,,Used,German Soldier 3,1.0,6.56,6.56,Minifigure,iaj006,363782458.0
,,,,,,,,,,,,Used,German Soldier 4,1.0,6.29,6.29,Minifigure,iaj004,363782459.0
,,,,,,,,,,,,Used,"Indiana Jones - Dark Brown Jacket, Reddish Brown Fedora, Closed Mouth Lopsided Grin ",1.0,5.78,5.78,Minifigure,iaj001,363782460.0
,,,,,,,,,,,,Used,"Dark Bluish Gray Minifigure, Weapon Gun, Pistol Revolver - Large Barrel and Solid Handle ",3.0,0.10,0.30,Part,30132,363782402.0
,,,,,,,,,,,,Used,"Reddish Brown Minifigure, Weapon Whip Coiled ",1.0,0.40,0.40,Part,61975,364245515.0
23158953.0,2023-09-22,Taelormackin,USD,4.99,2.40,0.61,8.00,1.0,16.0,Shipped,"USA, Texas",,,,,,,11,
,,,,,,,,,,,,Used,"Green Plate, Round 1 x 1 with Flower Edge &#40;4 Knobs / Petals&#41;",16.0,0.15,2.40,Part,33291,366412076.0
23148874.0,2023-09-21,OfficialCC,USD,4.99,124.75,9.73,139.47,1.0,25.0,Shipped,"USA, Arizona",,,,,,,11,
,,,,,,,,,,,,Used,"White Minifigure, Headgear Helmet SW Stormtrooper Pattern Very good condition, like new, and it should be noted that this helmet exhibits noticeable print variations.",25.0,4.99,124.75,Part,30408p01,364232320.0
23140421.0,2023-09-19,Blaze_Hawk,USD,4.99,5.10,0.40,10.49,2.0,2.0,Shipped,"USA, California",,,,,,,11,
,,,,,,,,,,,,Used,"Dark Brown Cat, Crouching ",1.0,1.10,1.10,Part,6251,363931280.0
,,,,,,,,,,,,Used,"Tan Minifigure, Hair Swept Back with Pointed Yellow &#40;Elf&#41; Ears Pattern",1.0,4.00,4.00,Part,93230pb01,368391107.0
23124580.0,2023-09-18,zombitroid,USD,4.99,16.35,0.00,21.34,10.0,40.0,Completed,"USA, Oregon",,,,,,,11,
,,,,,,,,,,,,Used,"Black Minifigure, Utensil Handcuffs Batman Long &#40;two clips with handgrip bar in middle&#41;",1.0,0.50,0.50,Part,56619,364364992.0
,,,,,,,,,,,,Used,"Black Minifigure, Weapon Batman Batarang &#40;2 Bat Wings with Bar in Middle&#41;",14.0,0.01,0.14,Part,98721,364364698.0
,,,,,,,,,,,,Used,"Black Minifigure, Weapon Gun, Blaster Long &#40;SW&#41;",3.0,0.15,0.45,Part,57899,364245802.0
,,,,,,,,,,,,Used,"Black Minifigure, Weapon Gun, Blaster Small &#40;SW&#41;",8.0,0.10,0.80,Part,92738,364245914.0
,,,,,,,,,,,,Used,"Black Minifigure, Weapon Gun, Pistol Automatic Medium Barrel ",1.0,0.30,0.30,Part,62885,364993738.0
,,,,,,,,,,,,Used,"Chrome Silver Minifigure, Weapon Lightsaber Hilt Straight ",4.0,1.50,6.00,Part,64567,362705568.0
,,,,,,,,,,,,Used,"Chrome Silver Minifigure, Weapon Lightsaber Hilt Straight Slight discolor",2.0,1.00,2.00,Part,64567,364242255.0
,,,,,,,,,,,,Used,"Dark Bluish Gray Minifigure, Helmet Antenna / Rangefinder for Helmet SW Clone Trooper with Holes ",3.0,0.29,0.87,Part,61190d,362708311.0
,,,,,,,,,,,,Used,"Dark Bluish Gray Minifigure, Weapon Gun, Pistol Revolver - Large Barrel and Solid Handle ",3.0,0.10,0.30,Part,30132,363782402.0
,,,,,,,,,,,,Used,White Torso SW Armor Clone Trooper Pattern / White Arms / Black Hands ,1.0,4.99,4.99,Part,973pb0117c01,364064474.0
23108117.0,2023-09-15,thatonebuyer29,USD,4.99,129.74,10.48,134.83,1.0,26.0,Received,"USA, California",,,,,,,11,
,,,,,,,,,,,,Used,"White Minifigure, Headgear Helmet SW Stormtrooper Pattern Very good condition, like new, and it should be noted that this helmet exhibits noticeable print variations.",26.0,4.99,129.74,Part,30408p01,364232320.0
23103205.0,2023-09-15,wadfordjd2018,USD,4.99,1.50,0.00,6.49,1.0,3.0,Completed,"USA, Mississippi",,,,,,,11,
,,,,,,,,,,,,Used,Dark Tan Dish 2 x 2 Inverted (Radar) with Mushroom Tan Pattern,3.0,0.50,1.50,Part,4740pb009,364237436.0
23092822.0,2023-09-13,mrwiese55,USD,4.99,30.78,1.85,37.62,5.0,7.0,Completed,"USA, Virginia",,,,,,,11,
,,,,,,,,,,,,Used,"Dark Bluish Gray Minifigure, Weapon Axe, Halberd Elaborate ",1.0,0.49,0.49,Part,6123,367053184.0
,,,,,,,,,,,,Used,"Light Bluish Gray Minifigure Cape Cloth, Standard - Traditional Starched Fabric - 4.0cm Height Slight fraying on all edges, no fading, pictures can be asked for so feel free to reach out",1.0,12.00,12.00,Part,522,368385875.0
,,,,,,,,,,,,Used,"Light Bluish Gray Minifigure Cape Cloth, Standard - Traditional Starched Fabric - 4.0cm Height Very good condition no fraying, no fading, pictures can be asked for so feel free to reach out",1.0,17.99,17.99,Part,522,368385752.0
,,,,,,,,,,,,Used,Light Bluish Gray Slope 65 2 x 2 x 2 with Bottom Tube,1.0,0.09,0.09,Part,3678b,363929431.0
,,,,,,,,,,,,Used,White Brick 2 x 2 Corner,3.0,0.07,0.21,Part,2357,367053245.0
23081327.0,2023-09-12,IndaKota,USD,4.99,11.17,0.70,16.86,4.0,4.0,Completed,"USA, Massachusetts",,,,,,,11,
,,,,,,,,,,,,Used,Black Hips and White Legs Pre owned with some wear,1.0,0.40,0.40,Part,970c01,364064665.0
,,,,,,,,,,,,Used,Dark Bluish Gray Tile 1 x 4,1.0,0.12,0.12,Part,2431,363929413.0
,,,,,,,,,,,,Used,"Metallic Silver Minifigure, Weapon Lightsaber Hilt Straight ",1.0,0.15,0.15,Part,64567,365172649.0
,,,,,,,,,,,,Used,"White Minifigure, Headgear Helmet SW Clone Trooper Ep.3 with Green Stripes Pattern",1.0,10.50,10.50,Part,50995pb04,362704919.0
23079876.0,2023-09-12,ravpug,USD,4.99,18.40,1.93,25.32,6.0,11.0,Completed,"USA, Texas",,,,,,,11,
,,,,,,,,,,,,Used,Battle Droid Tan without Back Plate ,5.0,1.50,7.50,Minifigure,sw0001b,363186520.0
,,,,,,,,,,,,Used,Dark Tan Plate 6 x 8,2.0,0.20,0.40,Part,3036,367053198.0
,,,,,,,,,,,,Used,"Pearl Gold Dragon, Baby &#40;HP Norbert&#41;",1.0,1.35,1.35,Part,41535,363931204.0
,,,,,,,,,,,,Used,"Reddish Brown Minifigure, Weapon Pike / Spear Elaborate with Molded Pearl Light Gray Tip Pattern ",1.0,6.00,6.00,Part,90391pb01,364362676.0
,,,,,,,,,,,,Used,"Tan Legs Mechanical, Battle Droid ",1.0,0.65,0.65,Part,30376,364065603.0
,,,,,,,,,,,,Used,White Torso SW Armor Clone Trooper with Red Mark 'Shock Trooper' Pattern / White Arms / Black Hands ,1.0,2.50,2.50,Part,973pb0117rc01,363530962.0
22988948.0,2023-09-01,Brickmaniac33,USD,4.99,8.99,1.15,15.13,1.0,1.0,Completed,"USA, Texas",,,,,,,11,
,,,,,,,,,,,,Used,Orange Minifigure Armor Pauldron Cloth with Black Neck Pattern slight fade,1.0,8.99,8.99,Part,48431pb01,362705061.0
,,,,,,,,,,,,,,,,,,11,
22979921.0,2023-08-30,Taylor68,USD,4.99,5.75,0.59,11.33,1.0,5.0,Completed,"USA, Wisconsin",,,,,,,11,
,,,,,,,,,,,,Used,"Dark Bluish Gray Brick, Modified 12 x 12 with 3 Pin Holes on each Side and Axle Holes in Corners",5.0,1.15,5.75,Part,52040,363929387.0
22954388.0,2023-08-27,jklotz08,USD,4.99,1.20,0.31,6.50,1.0,30.0,Completed,"USA, Wisconsin",,,,,,,11,
,,,,,,,,,,,,Used,Green Plant Flower Stem with Stud and 3 Stems,30.0,0.04,1.20,Part,3741,364236469.0
22928618.0,2023-08-24,u999333,USD,4.99,18.17,1.39,24.55,6.0,28.0,Completed,"USA, Vermont",,,,,,,11,
,,,,,,,,,,,,Used,Imperial Death Trooper ,1.0,9.99,9.99,Minifigure,sw0807,364242025.0
,,,,,,,,,,,,Used,"Black Minifigure, Utensil Camera with Side Sight &#40;Space Gun&#41;",7.0,0.06,0.42,Part,4360,364994157.0
,,,,,,,,,,,,Used,"Dark Bluish Gray Minifigure, Utensil Binoculars Space ",7.0,0.03,0.21,Part,30304,364991215.0
,,,,,,,,,,,,Used,"Red Minifigure, Utensil Dynamite Sticks Bundle ",10.0,0.03,0.30,Part,64728,364365662.0
,,,,,,,,,,,,Used,"White Minifigure, Headgear Helmet SW Clone Trooper Ep.3 Pattern",1.0,2.25,2.25,Part,50995pb01,363531063.0
,,,,,,,,,,,,New,"White Minifigure, Headgear Helmet SW Clone Trooper Ep.3 Pattern",2.0,2.50,5.00,Part,50995pb01,364231550.0
22928291.0,2023-08-24,Quebery213,USD,6.50,7.40,1.03,15.68,1.0,37.0,Completed,"USA, New York",,,,,,,11,
,,,,,,,,,,,,Used,"Black Minifigure, Weapon Gun, Blaster Short &#40;SW&#41;",37.0,0.20,7.40,Part,58247,364245881.0
22847940.0,2023-08-14,DadNandoBricks,USD,4.99,54.98,3.99,63.96,2.0,2.0,Completed,"USA, Utah",,,,,,,11,
,,,,,,,,,,,,Used,"Pearl Sand Blue Arm Mechanical, Super Battle Droid Both clips are still intact and hold well",1.0,24.99,24.99,Part,41890,363187998.0
,,,,,,,,,,,,Used,"Pearl Sand Blue Legs Mechanical, Super Battle Droid Both clips still intact and hold well",1.0,29.99,29.99,Part,42687,363187942.0
22846850.0,2023-08-13,LaughingQuoll,USD,4.99,8.99,0.98,14.96,1.0,1.0,Completed,"USA, North Carolina",,,,,,,11,
,,,,,,,,,,,,Used,Orange Minifigure Armor Pauldron Cloth with Black Neck Pattern slight fade,1.0,8.99,8.99,Part,48431pb01,362705061.0
